"","state","state.PctIlleg","state.racepctblack","state.PctPopUnderPov","state.pupassist","state.english","state.plumbing","state.density","state.drug","state.income","state.popdens"
"1","1",0.2375,0.3425,0.340625,0.311875,0.029375,0.3525,0.090625,0.058125,0.28625,0.090625
"2","2",0.27,0.25,0.27,0.36,0.1,0.35,0.08,0,0.34,0.08
"3","4",0.126666666666667,0.06,0.271666666666667,0.196666666666667,0.0783333333333333,0.133333333333333,0.108333333333333,0.3,0.298333333333333,0.108333333333333
"4","5",0.346363636363636,0.413636363636364,0.528181818181818,0.417272727272727,0.0336363636363636,0.316363636363636,0.111818181818182,0.0909090909090909,0.163636363636364,0.111818181818182
"5","6",0.255739130434783,0.120608695652174,0.249913043478261,0.402782608695652,0.378086956521739,0.227478260869565,0.392608695652174,0.136521739130435,0.476782608695652,0.392608695652174
"6","8",0.195454545454545,0.0418181818181818,0.371818181818182,0.305454545454545,0.106363636363636,0.218181818181818,0.211818181818182,0.192727272727273,0.266363636363636,0.211818181818182
"7","9",0.226153846153846,0.153461538461538,0.146153846153846,0.213461538461538,0.117692307692308,0.161538461538462,0.151153846153846,0.150769230769231,0.563846153846154,0.151153846153846
"8","12",0.322307692307692,0.254102564102564,0.297692307692308,0.23025641025641,0.165384615384615,0.186410256410256,0.272564102564103,0.202820512820513,0.295897435897436,0.272564102564103
"9","13",0.422307692307692,0.53,0.386923076923077,0.392307692307692,0.0453846153846154,0.304615384615385,0.136923076923077,0.0546153846153846,0.293846153846154,0.136923076923077
"10","16",0.16,0.015,0.52,0.255,0.13,0.215,0.245,0,0.145,0.245
"11","18",0.221904761904762,0.134761904761905,0.331904761904762,0.297142857142857,0.0590476190476191,0.243809523809524,0.198571428571429,0.114285714285714,0.258095238095238,0.198571428571429
"12","19",0.186666666666667,0.0416666666666667,0.273333333333333,0.291666666666667,0.0383333333333333,0.165,0.141666666666667,0.165,0.3,0.141666666666667
"13","21",0.192222222222222,0.114444444444444,0.376666666666667,0.374444444444444,0.0255555555555556,0.212222222222222,0.18,0,0.232222222222222,0.18
"14","22",0.462222222222222,0.527777777777778,0.592222222222222,0.491111111111111,0.0744444444444444,0.346666666666667,0.234444444444444,0.307777777777778,0.182222222222222,0.234444444444444
"15","23",0.165,0.00875,0.2325,0.3375,0.05,0.44125,0.06625,0,0.31375,0.06625
